Sentence,Organizations
JAT Holdings,taps through,an Initial Public Offering
JAT Holdings,taps as,an innovative corporate entity
Zephyr Management,", leading investment banking group in",Sri Lanka
 NDB Capital,belong to,the largest financial conglomerate
 NDB Capital,belong to,the largest financial conglomerate
 NDB Capital,belong to,the largest financial conglomerate
 NDB Capital,belong to,the largest financial conglomerate
NDB Group,positioned towards,assisting
Seylan Bank,work As, 
Seylan Bank,work As,a part
Seylan Bank,work alongside,the Ceylon Chamber of Commerce
Seylan Bank,work As, 
Seylan Bank,work As,a part
Seylan Bank,work alongside,the Ceylon Chamber of Commerce
Seylan Bank,work As, 
Seylan Bank,work As,a part
Seylan Bank,work alongside,the Ceylon Chamber of Commerce
Seylan Bank,work As, 
Seylan Bank,work As,a part
Seylan Bank,work alongside,the Ceylon Chamber of Commerce
the Bank,coming on,board
 The CCC Centre,conduct in,addition
HNB,captured before,even
HNB,captured before,the pandemic
 HNB IPG,recorded during,the period
 HNB IPG,recorded with,embracing
 HNB IPG,recorded during,the period
 HNB IPG,recorded with,embracing
 HNB IPG,recorded during,the period
 HNB IPG,recorded with,embracing
LOLC,is With,the increasing trend
LOLC Finance,operating as,its merchant acquiring partner
Fintech (Financial Technology,makes With, 
Fintech (Financial Technology,makes With,operating
LOLC Finance,operating as,its merchant acquiring partner
Fintech (Financial Technology,makes With, 
Fintech (Financial Technology,makes With,operating
LOLC Finance,operating as,its merchant acquiring partner
Fintech (Financial Technology,makes With, 
Fintech (Financial Technology,makes With,operating
 The Monetary Board,kept at,its last announcement
 The Monetary Board,kept for,a seventh consecutive announcement
 The Monetary Board,kept at,its last announcement
 The Monetary Board,kept for,a seventh consecutive announcement
 The Monetary Board,kept at,its last announcement
 The Monetary Board,kept for,a seventh consecutive announcement
 The Monetary Board,kept at,its last announcement
 The Monetary Board,kept for,a seventh consecutive announcement
 PLC,renewed by,receiving
 PLC,renewed by,receiving
 PLC,renewed by,receiving
 PLC,renewed by,receiving
AFC,has In, 
AFC,has In,addition
AFC,has In, 
AFC,has In,addition
AFC,has In, 
AFC,has In,addition
AFC,has In, 
AFC,has In,addition
 AFC,focused on,sustainable development
FMO,has in,the business philosophy
FMO,has in,the business philosophy
 AFC,dedicated from,its inception
AFC,equipped at,this juncture
AFC,equipped with,a well-aligned business philosophy
AFC,equipped at,this juncture
AFC,equipped with,a well-aligned business philosophy
AFC,equipped at,this juncture
AFC,equipped with,a well-aligned business philosophy
 AFC,embraced in,2012
AFC,became In, 
AFC,became In,2020
 AFC,is among,the highest contributors
National Development Agenda,its high impact goals in,place
National Development Agenda,its high impact goals in,place
National Development Agenda,its high impact goals in,place
DFCC Bank,awarded after,its merger
DFCC Bank,awarded after,its merger
DFCC Bank,takes in,its ability
DFCC Bank,takes in,its ability
 LankaClear,been in,the forefront
 LankaClear,been in,revolutionising
 LankaClear,been in,the forefront
 LankaClear,been in,revolutionising
BOC,introduced In, 
BOC,introduced In,July 2020
BOC,introduced through,the Tier 1 Capital Perpetual Bonds
BOC,introduced with,the issuance
BOC,introduced In, 
BOC,introduced In,July 2020
BOC,introduced through,the Tier 1 Capital Perpetual Bonds
BOC,introduced with,the issuance
 BOC,raised in,December 2020
 BOC,raised via,a similar Basel III Compliant
BOC,raised Among, 
BOC,raised Among,numerous landmark achievements
BOC,raised by,issuing
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
HSBC Sri Lanka Country Head,HSBC Sri Lanka Country Head of,Wealth
Global Insurance,affordable with,our flexible payment plans
Global Insurance,affordable with,our flexible payment plans
 The AGM,hosted on,a virtual platform
Ministry of Crab,the Founder of,the leading seafood restaurant group
Ministry of Crab,the Founder with,successful restaurants
Corporate Planning for the IWS Holdings Group,heads in,diversified business interests
Corporate Planning for the IWS Holdings Group,heads in,diversified business interests
(CMA,a Certified Management Accountant from,CMA
(CMA,a Certified Management Accountant from,CMA
(CMA,a Certified Management Accountant from,CMA
Headquarters Opening of People’s Bank, Opening of,digital cheques deposit machine
Headquarters Opening of People’s Bank, Opening of,digital cheques deposit machine
Rancrisp Cashew,adds to,the mix
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
Visa Signature,a variety of,credit cards
Visa Signature,a variety in,the Silver
Visa Signature,a variety in,the premium segment
  JAT Holdings,trusted in,finishing
an Initial Public Offering,enter on,20 July
JAT Holdings,established as,the leader
the WHITE,expanding by,JAT marketing
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed to,its Board
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed as,an Independent Non-Executive Director
Yanika Amarasekera,appointed to,its Board
Yanika Amarasekera,appointed as,an Independent Non-Executive Director
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed to,its Board
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed as,an Independent Non-Executive Director
Yanika Amarasekera,appointed to,its Board
Yanika Amarasekera,appointed as,an Independent Non-Executive Director
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed to,its Board
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed as,an Independent Non-Executive Director
Yanika Amarasekera,appointed to,its Board
Yanika Amarasekera,appointed as,an Independent Non-Executive Director
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed to,its Board
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed as,an Independent Non-Executive Director
Yanika Amarasekera,appointed to,its Board
Yanika Amarasekera,appointed as,an Independent Non-Executive Director
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed to,its Board
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed as,an Independent Non-Executive Director
Yanika Amarasekera,appointed to,its Board
Yanika Amarasekera,appointed as,an Independent Non-Executive Director
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed to,its Board
London Yanika Amarasekera Business-leader Dhammika Perera-controlled LB Finance PLC,appointed as,an Independent Non-Executive Director
Yanika Amarasekera,appointed to,its Board
Yanika Amarasekera,appointed as,an Independent Non-Executive Director
Bachelor of Arts,degrees in,Political Economy
Bachelor of Arts,degrees in,Political Economy
Bachelor of Arts,degrees in,Political Economy
further SLFR,accessed over,high
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 45.0 billion
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 45.0 billion
Union Assurance,continues With, 
Union Assurance,continues With,76 branches
The Commercial Bank of Ceylon,named among,the global giants
The Commercial Bank of Ceylon,named among,the global giants
The Commercial Bank of Ceylon,named among,the global giants
Strongest Bank Brand, Ranked Sri Lanka in,2021
Strongest Bank Brand, Ranked Sri Lanka by,Brand Finance
Commercial Bank of Ceylon,ended with,total assets
Strongest Bank Brand, Ranked Sri Lanka in,2021
Strongest Bank Brand, Ranked Sri Lanka by,Brand Finance
Commercial Bank of Ceylon,ended with,total assets
Strongest Bank Brand, Ranked Sri Lanka in,2021
Strongest Bank Brand, Ranked Sri Lanka by,Brand Finance
Commercial Bank of Ceylon,ended with,total assets
Strongest Bank Brand, Ranked Sri Lanka in,2021
Strongest Bank Brand, Ranked Sri Lanka by,Brand Finance
Commercial Bank of Ceylon,ended with,total assets
I CAR,stood at,13.217%
I CAR,stood as,at
I CAR,stood above,well
I CAR,stood above,the revised minimum requirement
its Total Capital Ratio,was above,comfortably
its Total Capital Ratio,was above,the revised requirement
I CAR,stood at,13.217%
I CAR,stood as,at
I CAR,stood above,well
I CAR,stood above,the revised minimum requirement
its Total Capital Ratio,was above,comfortably
its Total Capital Ratio,was above,the revised requirement
I CAR,stood at,13.217%
I CAR,stood as,at
I CAR,stood above,well
I CAR,stood above,the revised minimum requirement
its Total Capital Ratio,was above,comfortably
its Total Capital Ratio,was above,the revised requirement
CBSL Department of Foreign Exchange,National Development Bank Head of,Compliance Manique Kiriella Bandara
CBSL Department of Foreign Exchange,National Development Bank Head of,Compliance Manique Kiriella Bandara
CBSL Department of Foreign Exchange,National Development Bank Head of,Compliance Manique Kiriella Bandara
Citizens Development Business Finance PLC,  Architectural illustration of,the proposed Kurunegala Branch
Citizens Development Business Finance PLC,  Architectural illustration of,the proposed Kurunegala Branch
Commercial Leasing & Finance PLC,recorded In,its most impressive performance
Commercial Leasing & Finance PLC,recorded despite,the severe challenges
Profit Before Tax,achieving Profit Before Tax,over
Profit After Tax,rose by,as much as 43%
Profit After Tax,rose over,the preceding year
Commercial Leasing & Finance PLC,recorded In,its most impressive performance
Commercial Leasing & Finance PLC,recorded despite,the severe challenges
Profit Before Tax,achieving Profit Before Tax,over
Profit After Tax,rose by,as much as 43%
Profit After Tax,rose over,the preceding year
Commercial Leasing & Finance PLC,recorded In,its most impressive performance
Commercial Leasing & Finance PLC,recorded despite,the severe challenges
Profit Before Tax,achieving Profit Before Tax,over
Profit After Tax,rose by,as much as 43%
Profit After Tax,rose over,the preceding year
Commercial Leasing & Finance PLC,recorded In,its most impressive performance
